id,organization,name,url,opens,deadline,amount,other_benefits,eligibility,area,flags,notes
anthropic-fellows,Anthropic,Anthropic Fellows Program,https://boards.greenhouse.io/anthropic,Rolling,Rolling,"~$65,000 per 4-month term + ~$15,000/month compute credits",Remote-friendly; compute access,"US, UK, or Canada work authorization required",AI and Tech Policy,,Cohort-based research fellowship; check Anthropic careers page for current openings
aspen-policy-academy,Aspen Institute,Aspen Policy Academy Fellowship,https://aspenpolicyacademy.org,Dec,"Feb 5, 2027","$5,000 stipend + optional $2,500 project fund",Policy leadership network access,US-based; graduate students and early-career professionals,Public Policy and Government,,Dates projected from prior cycle; verify current cycle on website
base-fellows,BASE Research,BASE Fellows Program,https://baseresearch.org/base-fellowship,Fall,"~Jan 9, 2027",Stipend; verify amount on website,12-week remote cohort; mentorship; network,Black researchers; US-eligible; all fields,Open Field,Black researchers focus,Dates projected from prior cycle; verify current cycle on website
belfer-isp-predoc,Harvard Belfer Center,International Security Program Pre-Doctoral Fellowship,https://www.belfercenter.org/fellowship/international-security-program-fellowship,"Oct 1, 2026","Dec 1, 2026","$46,000/year + health insurance",Office space; Harvard affiliation; mentorship,All nationalities; in-residence Cambridge MA,Public Policy and Government,,In-residence at Harvard Kennedy School
belfer-tech-geopolitics,Harvard Belfer Center,Technology and Geopolitics Fellowship,https://www.belfercenter.org/fellowship/technology-and-geopolitics,"Oct 1, 2026","Dec 1, 2026",Stipend varies; verify on website,Harvard affiliation; policy network,US-eligible; all nationalities considered,AI and Tech Policy,,Tech and geopolitics research focus; verify current cycle
berkman-klein,"Berkman Klein Center, Harvard",Berkman Klein Fellowship,https://cyber.harvard.edu,~Oct,"~Feb, 2027","Up to $75,000/year ($6,250/month) + office space",Harvard affiliation; internet and society research network,US-eligible; all backgrounds; Sept 2027-Aug 2028 term,AI and Tech Policy,,"Internet, law, and society research focus; verify current cycle"
cais-fellowship,Center for AI Safety,CAIS AI and Society Fellowship,https://www.safe.ai/fellowship,~Jan,"~Mar, 2027",Fully funded; verify amount on website,San Francisco-based; research cohort,US-based; graduate students and researchers,AI and Tech Policy,,AI safety and society research focus
govai-dc-summer,Centre for the Governance of AI,GovAI DC Summer Fellowship,https://www.governance.ai/opportunities,~Winter,"~Mar, 2027","~$21,000 for summer term",Washington DC placement; policy network,US-eligible; graduate students,AI and Tech Policy,,AI governance focus; DC-based summer program
coding-it-forward,Coding it Forward,Civic Digital Fellowship,https://www.codingitforward.com/fellowship,~Nov,"~Jan, 2027","$20-$25/hour, 10-week summer term",Federal agency placement; civic tech network,"US citizens, nationals, or permanent residents currently in the US; undergrad and grad eligible",Public Policy and Government,,Civic technology and government; open to undergrads and graduate students
cip-research,Center for Information Policy Research (CIP),CIP Research Fellowship,https://www.cip.org/research-fellowship,~Mar,"~May 15, 2027","$9,000 + dataset access",Remote; dataset and research infrastructure access,Global including US; graduate students,AI and Tech Policy,,Information policy and privacy research focus
